Document test,Accuracy,Proba,Confusion matrix
Zografsko Evangelie_0,1,0.999911551,[  0   0   0 100]
Slovo za veliki Petăk_0,1,0.999096425,[  0   0   0 100]
Mariinsko evangelie_0,1,0.766501142,[  0   0   0 100]
Sinajski Psaltir_0,1,0.636944101,[  0   0   0 100]
Suprasălski sbornik_0,1,0.989135677,[  0   0   0 100]
Novgorod service book marginalia_0,0,0.794311865,[  0   0 100   0]
Colophon to the Ostromir Codex_0,1,0.962310156,[100   0   0   0]
Mstislav’s letter_0,1,0.923453937,[100   0   0   0]
"The Primary Chronicle, Codex Laurentianus_0",1,0.997920415,[100   0   0   0]
Pooučenie na pamjat' stouju vr'chov'njuju apostolou Petra i Pavla_0,1,0.896645748,[100   0   0   0]
Zapovědaniě o prazd'nicěchă_0,1,0.999329716,[100   0   0   0]
The tale of Igor’s campaign_0,0,0.548864167,[  0 100   0   0]
Slovo pochvlal'no na pamjat' styima i prěslav'nyima oučitelema clověn'skou jazykou_0,1,0.995522949,[100   0   0   0]
Pooučenie na stǫjǫ paschǫ_0,1,0.981875501,[100   0   0   0]
Poučenie pred pričastie_0,1,0.999035726,[100   0   0   0]
Pooučenie na stǫjǫ paschǫ_0,1,0.908155577,[100   0   0   0]
Učitelno evangelie_0,1,0.999989102,[100   0   0   0]
Varlaam’s donation charter to the Xutyn monastery_0,1,0.997648641,[100   0   0   0]
Statute of Prince Vladimir_0,1,0.994358342,[100   0   0   0]
Colophon to Mstislav’s Gospel book_0,1,0.994629054,[100   0   0   0]
Kratăk Zlatostruj_0,1,0.999987931,[100   0   0   0]
"The First Novgorod Chronicle, Synodal manuscript_0",1,0.94157472,[100   0   0   0]
"Novgorod’s treaty with Grand Prince Jaroslav Jaroslavich, One thousand, two hundred and sixty-six_0",1,0.999942335,[100   0   0   0]
Uspenskij sbornik_0,0,0.557789857,[  0 100   0   0]
"The Kiev Chronicle, Codex Hypatianus_0",1,0.999986993,[100   0   0   0]
"The One thousand, two hundred and twenty-nine Treaty between Smolensk, Riga and Gotland (version A)_0",1,0.96545055,[100   0   0   0]
SLOVO OUPATIJA jefesăkago_0,1,0.994947084,[100   0   0   0]
Slovo stgo Polouta Rim'skago o t'kovanii danilově_0,1,0.983724553,[100   0   0   0]
A ce t'kovanie danilovo_0,1,0.997505224,[100   0   0   0]
Viděnije Danila Propoka o crěch' i poslědnich' dnech' i o končině věka_0,1,0.815065984,[100   0   0   0]
Stago Metodija Jepiskoupa Patr'skago Oukazanie istoje o crěch' i o poslědnich' dnech' i lětchă_0,1,0.999960898,[100   0   0   0]
Stich' videnije Danila pr(o)rka_0,1,0.999945045,[100   0   0   0]
Viděnije Isaie Pro(r)ka o poslědnem' vrěmeni [č]to choščhet' byti rodou člo[v]čju poslědnemou kolěnou_0,1,0.999745439,[100   0   0   0]
Pan'dechovo pr(o)rč'skoje skazanie_0,1,0.99998508,[100   0   0   0]
Russkaja Pravda_0,1,0.994691254,[100   0   0   0]
"Missive from the Archbishop of Riga to the Prince of Smolensk, Old Church Slavonic Treebank_0",1,0.999866287,[100   0   0   0]
Birchbark letters_0,1,0.990540322,[100   0   0   0]
Mesecă oktjabr' fei den' Pamjat' podrobnago otza ioanna pustynnika_0,1,0.998311521,[100   0   0   0]
Pochvalno slovo za sv. Kiril_0,1,0.984642952,[100   0   0   0]
Kanon za polagane rizata i pojasa na Sv. Borodica_0,1,0.717134092,[100   0   0   0]
Pochvala na prěstavlenie prěstyja bzja_0,1,0.919560616,[100   0   0   0]
Položenie rizě i poěsou prěstyja bcja_0,1,0.979579648,[100   0   0   0]
Pochvala na prěstavlenie vlačicja našeja bcja i prisno dvy Marija_0,1,0.832941488,[100   0   0   0]
Prolog i Bogoslovie (Nebesa) ot Isbor na zianieto na Joan Damaskin_0,1,0.998872161,[100   0   0   0]
Шестоднев_0,1,0.912746528,[100   0   0   0]
šestodnev čast Two_0,1,0.999998306,[100   0   0   0]
Life of Sergij of Radonezh_0,1,0.999999064,[100   0   0   0]
Vita Constantini_0,1,0.944811508,[100   0   0   0]
Vita Methodii_0,0.11,0.576270426,[11 89  0  0]
"Dušanova kodifikacija (ZKJU I DZ), Sofijski prepis_0",1,1,[100   0   0   0]
Slova na avva Dorotej_0,1,0.983960031,[100   0   0   0]
Slov(o) o vi sněch' iže vidě cr' šaik'iš' oče blg(o)vij_0,1,0.999949855,[100   0   0   0]
Borilov sinodik_0,1,0.997861625,[100   0   0   0]
Zadonščina_0,1,0.63326948,[100   0   0   0]
Oustav' stgo velikaago i văselenskago iže vă Nikei vtorago săbora_0,1,0.999999973,[100   0   0   0]
Rešenie na săbora na patriarch Mina_0,1,0.999998347,[100   0   0   0]
Molitva na postavlenie cěsarja (fragment)_0,1,0.999999999,[100   0   0   0]
Tomos unionis_0,1,1,[100   0   0   0]
Mltva na postavlenie kesara se že i na postavlenie chranitelě polatě_0,1,0.998013415,[100   0   0   0]
Mlitvy styǫ pjatidesjatnicǫ_0,1,0.999533654,[100   0   0   0]
čin' oum'veni v' styi veli četvrtok_0,1,0.997494502,[100   0   0   0]
Slovo za različnata nepravda_0,1,0.999990922,[100   0   0   0]
Poučenie za spasenieto na dušata_0,1,0.997855641,[100   0   0   0]
Žitie na sv. Teodopa Aleksanidrijska_0,1,0.999867401,[100   0   0   0]
Triodna čast na Patriaršeski chomiliar II_0,1,0.999966153,[100   0   0   0]
Slovo pochval'no c'p'sano klimentom' episkoupom' na pamjat' blaženaego proroka Zacharija i o rod'stvě ioana kr'stiatelě_0,1,0.965135992,[100   0   0   0]
Pamjat' svjataego Aleksiě člověka bžiě_0,1,0.928277925,[100   0   0   0]
Pachvala prědv'naego žitiě Ilija proroka_0,1,0.986125947,[100   0   0   0]
Pochvala stouemou Klimenătou patriarchou Rim'skou_0,1,0.930754206,[100   0   0   0]
Slovo pochval'no archanglou Michailou i Gavriilou_0,1,0.999984439,[100   0   0   0]
Pochvala sbjatouemou kurilou Oučitelju clověn'skou jazykou_0,1,0.997902301,[100   0   0   0]
Pooučenie na pamjat' stouju vr'chov'njuju apostolou Petra i Pav'la_0,1,0.50372473,[100   0   0   0]
Slovo na cvětonos'nǫjǫ nedělǫ_0,1,0.995553839,[100   0   0   0]
Stgo otca metodiě stchry glas_0,1,0.701048108,[100   0   0   0]
Slovo pochval'no Noanou Kr'stitelju_0,1,0.989359125,[100   0   0   0]
Žitie i žizn' prdpbiyǫ matere našę paraskevi_0,1,0.999995469,[100   0   0   0]
Dioptra na Filip Monotrop_0,1,0.999940069,[100   0   0   0]
